Name,Region,Resource ID,Resource Type
–,us-east-1,i-0408378b90a07b903,Instance
–,ap-northeast-1,vpc-00c2209bf272218be,Vpc
–,eu-west-3,vpc-02c0b14a6f85b5b89,Vpc
–,us-west-1,vpc-030157674b8f7a2d7,Vpc
–,us-west-2,vpc-0339f04bfaddb7a1e,Vpc
–,ap-northeast-3,vpc-037a2683bc64771d0,Vpc
–,sa-east-1,vpc-03c835286a5ef02de,Vpc
–,eu-north-1,vpc-041ed2537d49df101,Vpc
–,eu-west-2,vpc-0498a5c9be75761f6,Vpc
–,ap-southeast-2,vpc-0502ccd0ffe9279e3,Vpc
–,eu-central-1,vpc-098a9b9fd4fa09871,Vpc
–,ap-northeast-2,vpc-09910fcc2b2412acc,Vpc
–,ap-south-1,vpc-0c759a4f3fb3e6acc,Vpc
–,ap-southeast-1,vpc-0c855cae48b792ea6,Vpc
–,ca-central-1,vpc-0c9b418c1fbce2bb4,Vpc
–,eu-west-1,vpc-0d017032c53850b34,Vpc
–,us-east-1,vpc-0d6f71f26c9fb3bca,Vpc
–,us-east-2,vpc-0e34258af9aed634e,Vpc
–,us-east-1,sg-00459b7eef1231c6e,SecurityGroup
–,eu-west-3,sg-019112c2245f8af2d,SecurityGroup
–,ca-central-1,sg-01b76304da7e94f86,SecurityGroup
–,sa-east-1,sg-0391e62bd120107d4,SecurityGroup
–,us-east-1,sg-05c0c1832118cc9b8,SecurityGroup
–,ap-southeast-1,sg-064a50b46b3d3089b,SecurityGroup
–,us-east-2,sg-069aef2a4e4f389af,SecurityGroup
–,us-west-2,sg-06ad4fa06a072418b,SecurityGroup
–,ap-northeast-2,sg-0795742d926e64a72,SecurityGroup
–,eu-central-1,sg-08637f77cfcbc9a66,SecurityGroup
–,us-east-1,sg-094bfa23bf487ba02,SecurityGroup
–,us-east-1,sg-0a5e98830cc7db12c,SecurityGroup
–,eu-north-1,sg-0c119c1ff79e38647,SecurityGroup
–,ap-northeast-3,sg-0d1c1c29836839bf7,SecurityGroup
–,eu-west-2,sg-0dedfa7be98de02cf,SecurityGroup
–,ap-southeast-2,sg-0e03170b11f2b1761,SecurityGroup
–,eu-west-1,sg-0e92406194e77ed70,SecurityGroup
–,ap-northeast-1,sg-0ea8e88cbb836ffbf,SecurityGroup
–,ap-south-1,sg-0eee54c6e5eefb6b0,SecurityGroup
–,us-west-1,sg-0f5726f9fcc11e537,SecurityGroup
–,eu-west-3,subnet-00066b71fc65bc602,Subnet
–,ap-northeast-3,subnet-00800ec6a1cd6b700,Subnet
–,us-east-1,subnet-009b3c51e115c6b3e,Subnet
